№,YouTube ID,Исходное название,YouTube,Основной плейлист,Порядок,Дополнительные плейлисты,Визуальная рубрика,HEX,Язык / среда,Формат,Урок / часть,Надпись на обложке,Статус,Файл в архиве,Разрешение,"Размер, байт",Проверка перед загрузкой,Основание тематики,Источник визуала,Примечания,Старые плейлисты,SHA-256
38,9QniN5XarQo,Урок №2. Запуск проекта. Импорт библиотеки MOKO и применение стандартных функций.,https://www.youtube.com/watch?v=9QniN5XarQo,Python — автоматизация в MOKO SE,4,,Уроки Python,#B8EB55,Python,Урок,2,Запускаем проект,Утверждено · прежние 18 сохранены,thumbnails/9QniN5XarQo.jpg,1280 × 720,147942,,Плейлист Python + исходная обложка + описание и таймкоды автора,Ранее согласованный образец/партия. Файл в этой итерации не менялся.,"Описание и главы: изменение имени скрипта, заполнение трёх скриптов и повторные запуски. Не смешивать со сборкой проекта в уроке 1.",Уроки Python - MOKO SE,633f44e2ea395c2e083e81e607cd09eaf87c394143bcb47fe6f341b5e96dba00
39,tgIy0Ra-mn0,Урок №0.1. Разбираем предназначение всех папок в директории платформы.,https://www.youtube.com/watch?v=tgIy0Ra-mn0,Python — автоматизация в MOKO SE,2,,Уроки Python,#B8EB55,Python,Урок,0.1,Структура папок,Утверждено · прежние 18 сохранены,thumbnails/tgIy0Ra-mn0.jpg,1280 × 720,178179,,Плейлист Python + исходная обложка + описание и таймкоды автора,Ранее согласованный образец/партия. Файл в этой итерации не менялся.,"По описанию: назначение Data, Drivers, Images, Plugins, Projects, PythonLibrary и остальных папок. Иллюстрация папок, не абстрактное дерево данных из урока 14.",Уроки Python - MOKO SE,b3e338c70e5ad6790e94bb9f665d14b35995159eac06965988e25f0fc757b339
40,pzxfkmvQW2U,"Урок №1. Создание проекта: подключение скриптов, библиотек и шаблона Microsoft Word.",https://www.youtube.com/watch?v=pzxfkmvQW2U,Python — автоматизация в MOKO SE,3,,Уроки Python,#B8EB55,Python,Урок,1,Собираем проект,Утверждено · прежние 18 сохранены,thumbnails/pzxfkmvQW2U.jpg,1280 × 720,155191,,Плейлист Python + исходная обложка + описание и таймкоды автора,Ранее согласованный образец/партия. Файл в этой итерации не менялся.,"Подключение трёх скриптов, MOKO.py и шаблона Microsoft Word. Концептуальная схема сборки, без выдуманных настроек программы.",Уроки Python - MOKO SE,c2e970038e8e20376d7e415785068acf86bca919f34939a739ecc3884319b9f2
41,BSgXt5addDM,Урок №0. Введение. Установка MOKO SE и PyCharm,https://www.youtube.com/watch?v=BSgXt5addDM,Python — автоматизация в MOKO SE,1,,Уроки Python,#B8EB55,Python,Урок,0,Первый запуск,Утверждено · прежние 18 сохранены,thumbnails/BSgXt5addDM.jpg,1280 × 720,149341,,Текущий плейлист Python + исходная обложка,Ранее согласованный образец/партия. Файл в этой итерации не менялся.,,Уроки Python - MOKO SE,840efdc02893cb13f6d4fbd18fa698fb962e190081157a81f76907c248b9302e
42,e_2bLrqE6sk,Контроллеры Управления и Телеметрии.  Системы телеметрии. Моноблоки.,https://www.youtube.com/watch?v=e_2bLrqE6sk,Электроника и оборудование — проекты MOKO,2,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,КОНТРОЛЛЕРЫ И ТЕЛЕМЕТРИЯ,Готово · проверить новый макет,thumbnails/e_2bLrqE6sk.jpg,1280 × 720,120974,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",MOKO - Новинки видео; MOKO - решения и обзоры,db0f84e1d5fefeaf97cdb4181cfe1926676f2f5a261073031862c5fabb8383e5
43,UO_n5resEjA,Как сделать ассоциативные файлы с программой,https://www.youtube.com/watch?v=UO_n5resEjA,"Разработка ПО — практика, инструменты и стримы",5,,Разработка · Практика,#FF9A48,Не подтверждён / не применимо,Видео,,ФАЙЛЫ И ПРОГРАММА,Готово · проверить новый макет,thumbnails/UO_n5resEjA.jpg,1280 × 720,82875,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,MOKO - Новинки видео; MOKO - Уроки по программированию и не только,5e0a49172ec177875b6c80249ffc444cd3b9311aa2531fa76b4007abc5b98d29
44,zdXMG-IOhjA,Johnny Respect - проморолик,https://www.youtube.com/watch?v=zdXMG-IOhjA,Медиапроекты MOKO — промо и съёмки,1,,Медиа · Портфолио,#B69AFF,Не подтверждён / не применимо,Промо,,JOHNNY RESPECT,Готово · проверить новый макет,thumbnails/zdXMG-IOhjA.jpg,1280 × 720,98938,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка; содержательное описание ограничено,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",МОКО - Промо ролики,4bb6a7a2e45ed380f6411bd3f4ca79cd54034dcb7ce2c32d70b34ed3a7f80462
45,hirOeoPDYvY,MOKO SE - платформа для автоматизации.,https://www.youtube.com/watch?v=hirOeoPDYvY,MOKO SE — возможности и инструкции,2,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,MOKO SE АВТОМАТИЗАЦИЯ,Готово · проверить новый макет,thumbnails/hirOeoPDYvY.jpg,1280 × 720,85652,Финальное визуальное согласование,Название + исходная обложка; содержательное описание ограничено,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Проверить версию программы и актуальность интерфейса перед финальной обложкой. Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,МОКО - Промо ролики,9e770344ea3f13f74c10f48195c55b1f76dc21ac71e3cbe923157ab94259094d
46,9IOlJ_qBQ74,MOKO SE - платформа для автоматизации. Магия.,https://www.youtube.com/watch?v=9IOlJ_qBQ74,MOKO SE — возможности и инструкции,3,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,MOKO SE В ДЕЙСТВИИ,Готово · проверить новый макет,thumbnails/9IOlJ_qBQ74.jpg,1280 × 720,99714,Финальное визуальное согласование,Название + исходная обложка; содержательное описание ограничено,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Проверить версию программы и актуальность интерфейса перед финальной обложкой. Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,МОКО - Промо ролики,d0edef74655449801b3ec264d4344ac6691ee8c33ce0fcfe65a8447a267c3b88
47,gb45P9-3Yfk,Интеграция TELEGRAM бота в MOKO SE,https://www.youtube.com/watch?v=gb45P9-3Yfk,MOKO SE — возможности и инструкции,16,"Разработка ПО — практика, инструменты и стримы",MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,TELEGRAM В MOKO SE,Готово · проверить новый макет,thumbnails/gb45P9-3Yfk.jpg,1280 × 720,97522,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,MOKO - Новинки видео; MOKO SE - Платформа для автоматизации измерений,d89a110a40be0abbccf72a52df4b458c44f8e1a45429cb3945ea0ce67bd281a9
48,VzMZ4ohlJhI,Использование картинок в Message и Report. MOKO SE,https://www.youtube.com/watch?v=VzMZ4ohlJhI,MOKO SE — возможности и инструкции,11,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,ИЗОБРАЖЕНИЯ В ОТЧЁТАХ,Готово · проверить новый макет,thumbnails/VzMZ4ohlJhI.jpg,1280 × 720,83320,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,MOKO - Новинки видео; MOKO SE - Платформа для автоматизации измерений,efef9d7b1d53eec31c326bba11e4d9664ec1b5da9a519626cf9284a8f8900262
49,crbctMTtlG8,Мини обзор на Моноблоки Тесла с сенсорным дисплеем.,https://www.youtube.com/watch?v=crbctMTtlG8,Электроника и оборудование — проекты MOKO,3,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,СЕНСОРНЫЕ МОНОБЛОКИ,Готово · проверить новый макет,thumbnails/crbctMTtlG8.jpg,1280 × 720,135244,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",MOKO - Новинки видео; MOKO - решения и обзоры,128ca888e6e30d3b012de56116b698bec8ae384e9e62bf0d19904db057c9e878
50,WY41Ggzugy4,Презентация MOKO SE: большая не обрезанная. Знакомство и первый запуск.,https://www.youtube.com/watch?v=WY41Ggzugy4,MOKO SE — возможности и инструкции,1,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,ЗНАКОМСТВО С MOKO SE,Готово · проверить новый макет,thumbnails/WY41Ggzugy4.jpg,1280 × 720,99348,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Проверить версию программы и актуальность интерфейса перед финальной обложкой. Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,MOKO - Новинки видео; MOKO SE - Платформа для автоматизации измерений,1a28dc4bca2f3037993ba1528d38ce290c10b15baf2c87eee16bdc7519debe95
51,DStpNxJKxiI,Создаем уникальную кнопку в Labview,https://www.youtube.com/watch?v=DStpNxJKxiI,"LabVIEW — драйверы, утилиты и плагины",8,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,,УНИКАЛЬНАЯ КНОПКА,Готово · проверить новый макет,thumbnails/DStpNxJKxiI.jpg,1280 × 720,109715,Финальное визуальное согласование,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.",MOKO - Уроки по программированию и не только,818a83aacd52ad3059cf7e2d33a6d09ede6d69654cdeba4b76390f3dcdf07541
52,TSAL-e7zO8Q,Делаем вместе c Johnny Respect каталог продукции МОКО.,https://www.youtube.com/watch?v=TSAL-e7zO8Q,Медиапроекты MOKO — промо и съёмки,2,,Медиа · Портфолио,#B69AFF,Не подтверждён / не применимо,Промо,,КАТАЛОГ ПРОДУКЦИИ,Готово · проверить новый макет,thumbnails/TSAL-e7zO8Q.jpg,1280 × 720,108243,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",MOKO - решения и обзоры,353f7f91924a0d1b825a674d5b672ccb25b9aec256216ab26c7104aec24164d9
53,S1q0p8HLVqY,MOKO SE - Создание PDF документов,https://www.youtube.com/watch?v=S1q0p8HLVqY,MOKO SE — возможности и инструкции,8,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,СОЗДАЁМ PDF-ОТЧЁТЫ,Готово · проверить новый макет,thumbnails/S1q0p8HLVqY.jpg,1280 × 720,80533,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,MOKO SE - Платформа для автоматизации измерений,a7281b09e647d941481fa9f95a0901753cc3c68164812a79cbfcbe9b4e49c5e9
54,dOhiPXQIljo,Управление запуском скриптов. MOKO SE.,https://www.youtube.com/watch?v=dOhiPXQIljo,MOKO SE — возможности и инструкции,6,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,ЗАПУСК СКРИПТОВ,Готово · проверить новый макет,thumbnails/dOhiPXQIljo.jpg,1280 × 720,128226,Финальное визуальное согласование,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Проверить версию программы и актуальность интерфейса перед финальной обложкой. Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.",MOKO SE - Платформа для автоматизации измерений,09d2b63c5d3f0b74e7961b11e964d61d4a060e62e30163f08bfd44df7a91ce30
55,2BudDX-Tjqc,Контроллер управления холодильниками ATLANT + мобильное приложение,https://www.youtube.com/watch?v=2BudDX-Tjqc,Электроника и оборудование — проекты MOKO,4,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,КОНТРОЛЛЕР ATLANT,Готово · проверить новый макет,thumbnails/2BudDX-Tjqc.jpg,1280 × 720,118751,Финальное визуальное согласование,Название + исходная обложка; содержательное описание ограничено,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.",MOKO - решения и обзоры,db845d04bcaaf7b47009a067647054308004ca32f82bce815bded5bb76163745
56,VeR-7cU_-Mc,БелЭнергоКип - промо ролик,https://www.youtube.com/watch?v=VeR-7cU_-Mc,Медиапроекты MOKO — промо и съёмки,3,,Медиа · Портфолио,#B69AFF,Не подтверждён / не применимо,Промо,,БЕЛЭНЕРГОКИП ПРОМОРОЛИК,Готово · проверить новый макет,thumbnails/VeR-7cU_-Mc.jpg,1280 × 720,123188,Финальное визуальное согласование,Название + исходная обложка; содержательное описание ограничено,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.",МОКО - Промо ролики,e5ae1f1028c78785902abf014e11455f68c72fa47a58c24de75e22d1e5e14340
57,ASLRmlpA5Xw,Модернизированный аппарат для упаковки от компании МОКО.,https://www.youtube.com/watch?v=ASLRmlpA5Xw,Электроника и оборудование — проекты MOKO,5,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,МОДЕРНИЗАЦИЯ УПАКОВКИ,Готово · проверить новый макет,thumbnails/ASLRmlpA5Xw.jpg,1280 × 720,123981,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",MOKO - решения и обзоры,5ee3ba19f7fced90dcd2b4cc4f9ac5acfe9987d2da3062040d042a4077093c2f
58,9sQpjOUh7f4,Презентация плагина MOKO GRAPH,https://www.youtube.com/watch?v=9sQpjOUh7f4,MOKO SE — возможности и инструкции,15,"Разработка ПО — практика, инструменты и стримы",MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,MOKO GRAPH ПРЕЗЕНТАЦИЯ,Готово · проверить новый макет,thumbnails/9sQpjOUh7f4.jpg,1280 × 720,133680,Финальное визуальное согласование,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.",MOKO SE - Платформа для автоматизации измерений,6279e06ef0b031ac82dd35ef2628020a0b4a6583e2926a5b2af7685c1ce7ed72
59,cA1GXKStbMA,Вставка спец символов в MOKO SE,https://www.youtube.com/watch?v=cA1GXKStbMA,MOKO SE — возможности и инструкции,14,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,СПЕЦСИМВОЛЫ В MOKO SE,Готово · проверить новый макет,thumbnails/cA1GXKStbMA.jpg,1280 × 720,82936,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,MOKO SE - Платформа для автоматизации измерений,15029b6dba69c7139f3e5b5d9bc8a2f6e0770a81e9c736c1c1d42abc74a760ea
60,4Ot8GxQA6Yc,Медиа услуги MOKO,https://www.youtube.com/watch?v=4Ot8GxQA6Yc,Медиапроекты MOKO — промо и съёмки,4,,Медиа · Портфолио,#B69AFF,Не подтверждён / не применимо,Промо,,МЕДИАУСЛУГИ MOKO,Готово · проверить новый макет,thumbnails/4Ot8GxQA6Yc.jpg,1280 × 720,110217,Финальное визуальное согласование,Название + исходная обложка; содержательное описание ограничено,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,МОКО - Промо ролики; MOKO - решения и обзоры,cb202060e3abe87b05a9e6d83d514c39c332e84506ce79d3cf1c6349f7df1e1a
61,XoFGTU8Kovk,MOKO - разработка электроники и программного обеспечения.,https://www.youtube.com/watch?v=XoFGTU8Kovk,"MOKO — компания, выставки и интервью",3,,Компания · События,#ED6262,Не подтверждён / не применимо,Видео,,ИНЖЕНЕРИЯ MOKO,Готово · проверить новый макет,thumbnails/XoFGTU8Kovk.jpg,1280 × 720,84009,Финальное визуальное согласование,Название + исходная обложка; содержательное описание ограничено,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,МОКО - Промо ролики,604e6804a9aead28b0e0c0988647d54ebf57de147c25d2baaae195a6025c4d15
62,7YQ0j-HUuOs,Анонс второй версии MOKO SE,https://www.youtube.com/watch?v=7YQ0j-HUuOs,MOKO SE — возможности и инструкции,19,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,MOKO SE ВЕРСИЯ 2,Готово · проверить новый макет,thumbnails/7YQ0j-HUuOs.jpg,1280 × 720,85263,Финальное визуальное согласование; архивная версия программы/ОС,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Проверить версию программы и актуальность интерфейса перед финальной обложкой. Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,MOKO SE - Платформа для автоматизации измерений,a49545557a84cee2f479f68f7eadd9178ed112e61fea9de83122eb21ce0ebc1c
63,VoaZTXhmnmM,MONITOR BALL. MALANKA. ENGLISH VERSION.,https://www.youtube.com/watch?v=VoaZTXhmnmM,Электроника и оборудование — проекты MOKO,6,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,MONITOR BALL,Готово · проверить новый макет,thumbnails/VoaZTXhmnmM.jpg,1280 × 720,139865,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка; содержательное описание ограничено,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Кадр проекта из русской версии MONITOR BALL использован и для английской версии того же проекта.","Русская и английская версии одного проекта; обе сохраняются, английская с меткой EN. Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Кадр проекта из русской версии MONITOR BALL использован и для английской версии того же проекта. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",МОКО - Промо ролики,1e1074941227611a1cce452dbd02b6a1b25fcaec83ead800b9ae389ba55041b0
64,6s3BE6TtCD4,Monitor Ball. MALANKA,https://www.youtube.com/watch?v=6s3BE6TtCD4,Электроника и оборудование — проекты MOKO,7,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,MONITOR BALL,Готово · проверить новый макет,thumbnails/6s3BE6TtCD4.jpg,1280 × 720,141043,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка; содержательное описание ограничено,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Русская и английская версии одного проекта; обе сохраняются, английская с меткой EN. Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",МОКО - Промо ролики,a9696da0d9b4ca9ef23cf85a6315a9ff1299e0b44941412519998f0c74fda055
65,xMjkBv8Qa10,Создание своих уникальных кнопок в программе.  Уроки Labview.,https://www.youtube.com/watch?v=xMjkBv8Qa10,"LabVIEW — драйверы, утилиты и плагины",7,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,,СВОИ КНОПКИ,Готово · проверить новый макет,thumbnails/xMjkBv8Qa10.jpg,1280 × 720,85264,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,MOKO - Уроки по программированию и не только,229e1f151fe92e39eda2bfe01f9c922324933272752b4f3cfbe42c3bfa994f4b
66,Z8M26IEMpOQ,Пример опции объединение отчетов на базе решения.  Поверка манометров. MOKO SE.,https://www.youtube.com/watch?v=Z8M26IEMpOQ,MOKO SE — возможности и инструкции,10,"Автоматизация измерений — стенды, испытания и поверка",MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,ОБЪЕДИНЯЕМ ОТЧЁТЫ,Готово · проверить новый макет,thumbnails/Z8M26IEMpOQ.jpg,1280 × 720,76108,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,"Проверить версию программы и актуальность интерфейса перед финальной обложкой. Основной плейлист уточнён по описанию: показ функции MOKO SE, а не отдельная разработка или испытание. Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.",MOKO SE - Платформа для автоматизации измерений,48a6374cbb4f4ffa5b8f141e9c9093a5936b5777781e0660f6030fb52a32ad12
67,9EyE3bgGmZo,SOFTEQ LAB компания сделала нам подарок.,https://www.youtube.com/watch?v=9EyE3bgGmZo,"MOKO — компания, выставки и интервью",4,,Компания · События,#ED6262,Не подтверждён / не применимо,Видео,,ПОДАРОК ОТ SOFTEQ LAB,Готово · проверить новый макет,thumbnails/9EyE3bgGmZo.jpg,1280 × 720,107045,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка; содержательное описание ограничено,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",МОКО - Промо ролики,ac02e77e8d07b096ae7c48d3f9e8776a0cb4f9c35783cbd15568eb1697ab6720
68,4jCy0mh3E9s,Как создать красивую иконку для программы в формате ico,https://www.youtube.com/watch?v=4jCy0mh3E9s,"Разработка ПО — практика, инструменты и стримы",6,,Разработка · Практика,#FF9A48,Не подтверждён / не применимо,Видео,,ИКОНКА ДЛЯ ПРОГРАММЫ,Готово · проверить новый макет,thumbnails/4jCy0mh3E9s.jpg,1280 × 720,83846,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,MOKO - Уроки по программированию и не только,92fbfef67f8db3951076d87207efc9162e5f3e63a9800e3f311c8a991746b73c
69,gWQBcpK8X5A,Новый параметр для Тонального Модема. C# .Net.,https://www.youtube.com/watch?v=gWQBcpK8X5A,"Разработка ПО — практика, инструменты и стримы",7,,Разработка · Практика,#FF9A48,C# / .NET,Видео,,НАСТРОЙКА МОДЕМА,Готово · проверить новый макет,thumbnails/gWQBcpK8X5A.jpg,1280 × 720,124670,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",MOKO - Уроки по программированию и не только,50ba1c5703f9fb9909e63efba26f5ef369f098b10df2d79f9b83ada40d4770a9
70,7DngQ_kX12M,Создаем State Machine для управления очередью. Уроки LabView.,https://www.youtube.com/watch?v=7DngQ_kX12M,"LabVIEW — драйверы, утилиты и плагины",9,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,,State Machine,Утверждено · прежние 18 сохранены,thumbnails/7DngQ_kX12M.jpg,1280 × 720,167900,,Название LabVIEW или логотип LabVIEW на исходной обложке,Ранее согласованный образец/партия. Файл в этой итерации не менялся.,,MOKO - Уроки по программированию и не только,f25738b7e5d78f112c0286d09ce8e2fde03056a9a4f8c2579b077e4eec48c1ac
71,1CXaEv7QwuE,Не запускается программа сервер на C# .Net. Что делать?,https://www.youtube.com/watch?v=1CXaEv7QwuE,"Разработка ПО — практика, инструменты и стримы",8,,Разработка · Практика,#FF9A48,C# / .NET,Видео,,СЕРВЕР НЕ СТАРТУЕТ,Готово · проверить новый макет,thumbnails/1CXaEv7QwuE.jpg,1280 × 720,107118,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,MOKO - Уроки по программированию и не только,72c99424a762d07b53be81099cbf428b1dbeef4d232aa2cf4b04b94136ae0615
72,c1p5m_dTpdo,Управление плагинами написанными на С#  .net и т.д. MOKO SE.,https://www.youtube.com/watch?v=c1p5m_dTpdo,MOKO SE — возможности и инструкции,18,"Разработка ПО — практика, инструменты и стримы",MOKO SE · Инструкции,#55D6C2,C# / .NET,Видео,,ПЛАГИНЫ НА C#,Готово · проверить новый макет,thumbnails/c1p5m_dTpdo.jpg,1280 × 720,92345,Финальное визуальное согласование,Название + исходная обложка; содержательное описание ограничено,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Проверить версию программы и актуальность интерфейса перед финальной обложкой. Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.",MOKO SE - Платформа для автоматизации измерений,184cfbd05ca762131c72447fbdbcca2b2d24046c322fb87b5e615b0939931337
73,5Lm54uJEyL8,Как создать несколько Google дисков на одном компьютере Win 10.,https://www.youtube.com/watch?v=5Lm54uJEyL8,"Разработка ПО — практика, инструменты и стримы",9,,Разработка · Практика,#FF9A48,Не подтверждён / не применимо,Видео,,НЕСКОЛЬКО GOOGLE ДИСКОВ,Готово · проверить новый макет,thumbnails/5Lm54uJEyL8.jpg,1280 × 720,103653,Финальное визуальное согласование; архивная версия программы/ОС,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Windows 10 и инструкция по Google Дискам могут быть устаревшими; проверить актуальность. Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,MOKO - Уроки по программированию и не только,78c697103aa94e85798e441e5c2f6d6ef3fcfd239e69786401414eddbff2518d
